ID,YPLL.Rate
1,10492.143979042014
2,11133.122004216702
3,10800.372503850444
4,11414.791117862645
5,10818.654040588342
6,10580.813295803762
7,9235.088718145444
8,6737.741926249882
9,10566.448286752244
10,9181.090203714419
11,10570.086343097859
12,6632.710216677406
13,9944.478098139647
14,6639.672896549693
15,9889.111127247648
16,7787.470834389621
17,8093.2615150874235
18,9430.111570896948
19,10396.137848332915
20,8589.31916423352
21,10337.26824356671
22,10472.426407832889
23,9069.37946709319
24,8878.956157368626
25,11092.66961448166
26,11188.868247778082
27,9116.957003143887
28,6965.625559847551
29,9816.838140794438
30,10601.44123481071
31,5619.855772728916
32,5254.716975531326
33,6179.725623505902
34,7742.783728825216
35,5960.715683282234
36,7326.693182864756
37,6650.695919712196
38,5760.299937878238
39,5798.01202613563
40,8282.742024380219
41,6646.329644558081
42,7549.067001237331
43,5936.630513161066
44,5445.826882900973
45,7970.865325547709
46,7231.447358772203
47,5354.806240376821
48,6467.443804434028
49,9140.714047344216
50,9582.251224495216
51,9132.630366200461
52,11580.457629591674
53,10491.883298953087
54,8805.261912756385
55,7764.187265698491
56,9457.29126295472
57,7868.841136218083
58,9735.741158693196
59,9614.101721850804
60,8919.571165259684
61,6396.546025162588
62,7060.892793715732
63,9640.756348642577
64,5440.185769158965
65,6813.9238679667305
66,8304.745636088168
67,7360.674425498199
68,8867.091330070203
69,7068.874704380329
70,9860.11100054996
71,9198.685112412064
72,8415.708880842069
73,8886.271521704935
74,9620.783797517597
75,9966.36141546403
76,11467.859485876881
77,9787.668114140819
78,7724.153027262419
79,7427.658923552907
80,7555.195405106726
81,6581.553009690741
82,5450.115390615294
83,8495.018539300852
84,7537.610737515568
85,7348.422339376216
86,6055.930179575694
87,7554.491931327954
88,7739.450380012332
89,7378.249147256429
90,8587.642420615834
91,7036.412202859031
92,7560.587462941554
93,6905.511005815148
94,6992.174134315213
95,7242.961125563282
96,5798.764398788201
97,8343.828013062743
98,5677.5478711993
99,7587.471472288502
100,5750.873492253687
101,9085.15942934546
102,8534.694104467497
103,8122.337929530206
104,8367.486456945735
105,7333.172595677726
106,8407.71836098294
107,9879.038665506721
108,7975.4954729542005
109,7005.738418732114
110,7542.113437847423
111,6668.686185339724
112,5718.972304490305
113,5426.623176470194
114,6049.957568621649
115,6497.0782328461655
116,6526.6255131078515
117,5426.68378500722
118,7857.432859117942
119,8074.8784017673715
120,7276.827011546502
121,6383.1702450588955
122,7097.850378549007
123,7508.746959101488
124,6679.501600117127
125,8149.980857982388
126,9289.21615699096
127,8455.429220945705
128,8303.317515434084
129,7589.246458328638
130,7523.409665042052
131,8793.377639855196
132,7066.294834751113
133,7828.681831705527
134,6282.748036917863
135,7416.291922970576
136,7822.776178611368
137,7207.404564702333
138,8241.431924949702
139,5850.583084787447
140,6659.287780826745
141,9591.305779721133
142,10546.714027337921
143,10099.425624762564
144,7694.067041402253
145,11447.009863728863
146,6832.208502560007
147,10437.935742841531
148,9067.166565157793
149,10611.134993446785
150,10230.551722369879
151,11223.88677793026
152,11023.387665963683
153,8105.09047331273
154,10863.286800424563
155,6234.59438518202
156,7655.362355129136
157,8700.068010902824
158,10777.166893372834
159,9542.404358801667
160,10152.936920562175
161,9066.142886745745
162,9383.087394328599
163,9397.641280287271
164,10026.925737582844
165,6832.745336730628
166,10909.696232953887
167,6948.889530783042
168,6096.938526152306
169,6571.226600079897
170,5696.445594268823
171,7008.087595264911
172,5781.575401475004
173,6836.884339911706
174,6537.221079388188
175,7550.061415777924
176,6866.2712591083455
177,8487.632279107578
178,5433.643636583721
179,8689.358926415212
180,6598.963275067774
181,8203.229441635081
182,7912.547286494714
183,7039.009525649429
184,7768.754690684053
185,7678.867872400472
186,6287.194223233935
187,6232.241282761551
188,6637.790712898758
189,5254.716975531326
190,5680.401669878455
191,7380.070176827753
192,5888.356469689507
193,5941.961146046016
194,11169.117132349678
195,11578.58380129135
196,11018.99134263608
197,7732.567409443382
198,5953.968911273334
199,9667.080807467193
200,11698.726236408393
201,11698.726236408393
202,11277.449424663693
203,10186.929651310695
204,10107.642116512441
205,11363.301757328896
206,11639.018346918347
207,6685.063808271741
208,7818.584024169716
209,7875.638743134672
210,9085.587562802088
211,9347.983555339048
212,9399.409014450357
213,11149.672854101977
214,8538.171781015795
215,11492.015286741811
216,8820.172616293474
217,5828.8139436475685
218,8923.266187657044
219,8970.567279838684
220,8255.55218208361
221,8732.846444805491
222,10483.188227705752
223,6655.698449548385
224,7759.814519180369
225,8739.604540343491
226,8456.02940186618
227,6122.373767169608
228,8354.85239027362
229,7565.518384776155
